subject_name,course_name,course_url
Computer Science Courses,Supervised Machine Learning: Regression and Classification ,https://www.classcentral.com/course/machine-learning-835
Computer Science Courses,CS50's Introduction to Computer Science,https://www.classcentral.com/course/edx-cs50-s-introduction-to-computer-science-442
Computer Science Courses,"Information Systems Auditing, Controls and Assurance",https://www.classcentral.com/course/information-systems-audit-17979
Computer Science Courses,Unlocking Information Security I: From Cryptography to Buffer Overflows,https://www.classcentral.com/course/edx-unlocking-information-security-part-i-16964
Computer Science Courses,Elements of AI,https://www.classcentral.com/course/independent-elements-of-ai-12469
Computer Science Courses,Cyber Security,https://www.classcentral.com/course/swayam-cyber-security-13978
Computer Science Courses,Introduction to Cyber Security,https://www.classcentral.com/course/swayam-introduction-to-cyber-security-14116
Computer Science Courses,Introduction to Computer Science and Programming Using Python,https://www.classcentral.com/course/edx-introduction-to-computer-science-and-programming-using-python-1341
Computer Science Courses,Computational Social Science Methods,https://www.classcentral.com/course/computational-social-science-methods-17299
Computer Science Courses,"Divide and Conquer, Sorting and Searching, and Randomized Algorithms",https://www.classcentral.com/course/algorithms-divide-conquer-374
Computer Science Courses,Transport Systems: Global Issues and Future Innovations,https://www.classcentral.com/course/transport-systems-global-issues-and-future-innova-12705
Computer Science Courses,Cryptography I,https://www.classcentral.com/course/crypto-616
Computer Science Courses,Machine Learning for Musicians and Artists,https://www.classcentral.com/course/kadenze-machine-learning-for-musicians-and-artists-3768
Computer Science Courses,Functional Programming Principles in Scala,https://www.classcentral.com/course/progfun-422
Computer Science Courses,"Algorithms, Part I",https://www.classcentral.com/course/algs4partI-339
Mathematics Courses,Differential Equations for Engineers,https://www.classcentral.com/course/differential-equations-engineers-13258
Mathematics Courses,Matrix Algebra for Engineers,https://www.classcentral.com/course/matrix-algebra-engineers-11986
Mathematics Courses,Mathematical Economics,https://www.classcentral.com/course/swayam-mathematical-economics-14187
Mathematics Courses,Fibonacci Numbers and the Golden Ratio,https://www.classcentral.com/course/fibonacci-6684
Mathematics Courses,Vector Calculus for Engineers,https://www.classcentral.com/course/vector-calculus-engineers-17387
Mathematics Courses,Introduction to Dynamical Systems and Chaos,https://www.classcentral.com/course/complexity-explorer-introduction-to-dynamical-systems-and-chaos-1182
Mathematics Courses,Estadística Aplicada a los Negocios,https://www.classcentral.com/course/edx-estadistica-aplicada-a-los-negocios-10270
Mathematics Courses,Bases Matemáticas: Números y terminología,https://www.classcentral.com/course/edx-bases-matematicas-numeros-y-terminologia-2955
Mathematics Courses,Introduction to Mathematical Thinking,https://www.classcentral.com/course/maththink-370
Mathematics Courses,Intro to Statistics,https://www.classcentral.com/course/udacity-intro-to-statistics-361
Mathematics Courses,Fractals and Scaling,https://www.classcentral.com/course/complexity-explorer-fractals-and-scaling-3612
Mathematics Courses,Statistical Learning,https://www.classcentral.com/course/edx-statistical-learning-1579
Mathematics Courses,Probability - The Science of Uncertainty and Data,https://www.classcentral.com/course/edx-probability-the-science-of-uncertainty-and-data-1496
Mathematics Courses,"Precalculus: the Mathematics of Numbers, Functions and Equations",https://www.classcentral.com/course/precalculus-8988
Mathematics Courses,"Advanced Precalculus: Geometry, Trigonometry and Exponentials",https://www.classcentral.com/course/advanced-precalculus-9602
Science Courses,Extinctions: Past and Present,https://www.classcentral.com/course/extinctions-past-present-8004
Science Courses,Mountains 101,https://www.classcentral.com/course/mountains-101-7455
Science Courses,Nutrition and Health: Human Microbiome,https://www.classcentral.com/course/edx-nutrition-and-health-human-microbiome-9565
Science Courses,Forensic Facial Reconstruction: Finding Mr. X,https://www.classcentral.com/course/forensic-facial-reconstruction-7641
Science Courses,Introduction to Complexity,https://www.classcentral.com/course/complexity-explorer-introduction-to-complexity-557
Science Courses,Ecology and Wildlife Conservation,https://www.classcentral.com/course/ecology-and-wildlife-conservation-13667
Science Courses,Dino 101: Dinosaur Paleobiology,https://www.classcentral.com/course/dino101-1057
Science Courses,Introduction to Biology - The Secret of Life,https://www.classcentral.com/course/edx-introduction-to-biology-the-secret-of-life-637
Science Courses,Medical Parasitology | 医学寄生虫学,https://www.classcentral.com/course/edx-medical-parasitology-19192
Science Courses,Pronóstico de la generación de energía eólica y solar fotovoltaica,https://www.classcentral.com/course/edx-pronostico-de-la-generacion-de-energia-eolica-y-solar-fotovoltaica-19544
Science Courses,The Science of Gastronomy,https://www.classcentral.com/course/scigast-519
Science Courses,Cartography,https://www.classcentral.com/course/independent-cartography-8812
Science Courses,Molecular Biology - Part 1: DNA Replication and Repair,https://www.classcentral.com/course/edx-molecular-biology-part-1-dna-replication-and-repair-2907
Science Courses,Quantum Mechanics for Everyone,https://www.classcentral.com/course/edx-quantum-mechanics-for-everyone-8284
Science Courses,Introduction to Animal Behaviour,https://www.classcentral.com/course/edx-introduction-to-animal-behaviour-6033
Art & Design Courses,ANIMATIONs,https://www.classcentral.com/course/swayam-animations-13880
Art & Design Courses,How to Write Your First Song,https://www.classcentral.com/course/songwriting-3369
Art & Design Courses,Sustainability in Architecture: An Interdisciplinary Introduction,https://www.classcentral.com/course/edx-sustainability-in-architecture-an-interdisciplinary-introduction-11438
Art & Design Courses,Gamification,https://www.classcentral.com/course/gamification-343
Art & Design Courses,Innovation: the Fashion Industry,https://www.classcentral.com/course/fashion-innovation-5004
Art & Design Courses,Max MSP Programming Course: Structuring Interactive Software for Digital Arts,https://www.classcentral.com/course/kadenze-max-msp-programming-course-structuring-interactive-software-for-digital-arts-6411
Art & Design Courses,"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",https://www.classcentral.com/course/edx-circular-fashion-design-science-and-value-in-a-sustainable-clothing-industry-17080
Art & Design Courses,Design: Creation of Artifacts in Society,https://www.classcentral.com/course/design-371
Art & Design Courses,Physical Theatre: Exploring the Slap,https://www.classcentral.com/course/physical-theatre-exploring-the-slap-6096
Art & Design Courses,Introduction to Real-Time Audio Programming in ChucK,https://www.classcentral.com/course/kadenze-introduction-to-real-time-audio-programming-in-chuck-3749
Art & Design Courses,The 3D Printing Revolution,https://www.classcentral.com/course/3d-printing-revolution-5991
Art & Design Courses,Ableton Live Course: Sound Production for Musicians and Artists,https://www.classcentral.com/course/kadenze-ableton-live-course-sound-production-for-musicians-and-artists-3765
Art & Design Courses,Roman Architecture,https://www.classcentral.com/course/romanarchitecture-910
Art & Design Courses,"Product Design, Prototyping, and Testing",https://www.classcentral.com/course/edx-product-design-prototyping-and-testing-19100
Art & Design Courses,The Architectural Imagination,https://www.classcentral.com/course/edx-the-architectural-imagination-7836
Programming Courses,Python Data Structures,https://www.classcentral.com/course/python-data-4174
Programming Courses,Programming for Everybody (Getting Started with Python),https://www.classcentral.com/course/python-4319
Programming Courses,Using Databases with Python,https://www.classcentral.com/course/python-databases-4272
Programming Courses,Using Python to Access Web Data,https://www.classcentral.com/course/python-network-data-4343
Programming Courses,Computing in Python I: Fundamentals and Procedural Programming,https://www.classcentral.com/course/edx-computing-in-python-i-fundamentals-and-procedural-programming-11469
Programming Courses,Python for Everybody,https://www.classcentral.com/course/python-18625
Programming Courses,An Introduction to Interactive Programming in Python (Part 1),https://www.classcentral.com/course/interactivepython1-408
Programming Courses,Python and Statistics for Financial Analysis,https://www.classcentral.com/course/python-statistics-financial-analysis-12648
Programming Courses,Introduction to Programming with MATLAB,https://www.classcentral.com/course/matlab-3396
Programming Courses,Learn to Program: The Fundamentals,https://www.classcentral.com/course/programming1-385
Programming Courses,Python: aprender a programar,https://www.classcentral.com/course/edx-python-aprender-a-programar-20077
Programming Courses,Computing in Python IV: Objects & Algorithms,https://www.classcentral.com/course/edx-computing-in-python-iv-objects-algorithms-11472
Programming Courses,Python for Everybody - Exploring Information,https://www.classcentral.com/course/independent-python-for-everybody-exploring-information-7363
Programming Courses,An Introduction to Interactive Programming in Python (Part 2),https://www.classcentral.com/course/interactivepython2-3196
Programming Courses,Introduction to HTML5,https://www.classcentral.com/course/introhtml-4307
Data Science Courses,The Data Scientist’s Toolbox,https://www.classcentral.com/course/datascitoolbox-1712
Data Science Courses,R Programming,https://www.classcentral.com/course/rprog-1713
Data Science Courses,Computational Social Science,https://www.classcentral.com/course/computational-social-science-ucdavis-18710
Data Science Courses,The Analytics Edge,https://www.classcentral.com/course/edx-the-analytics-edge-1623
Data Science Courses,Introduction to Data Science in Python,https://www.classcentral.com/course/python-data-analysis-6671
Data Science Courses,Getting and Cleaning Data,https://www.classcentral.com/course/getdata-1714
Data Science Courses,Become a Data Analyst,https://www.classcentral.com/course/data-analyst-nanodegree--nd002-18208
Data Science Courses,Python for Data Science,https://www.classcentral.com/course/swayam-python-for-data-science-14266
Data Science Courses,Exploratory Data Analysis,https://www.classcentral.com/course/exploratory-data-analysis-1715
Data Science Courses,Python for Data Science,https://www.classcentral.com/course/edx-python-for-data-science-8209
Data Science Courses,Data Science and Agile Systems for Product Management,https://www.classcentral.com/course/edx-data-science-and-agile-systems-for-product-management-19101
Data Science Courses,Probability - The Science of Uncertainty and Data,https://www.classcentral.com/course/edx-probability-the-science-of-uncertainty-and-data-1496
Data Science Courses,Spatial Data Science: The New Frontier in Analytics,https://www.classcentral.com/course/independent-spatial-data-science-the-new-frontier-in-analytics-17227
Data Science Courses,Introducción a la Ciencia de Datos con Python,https://www.classcentral.com/course/edx-introduccion-a-la-ciencia-de-datos-con-python-21169
Data Science Courses,Mining Massive Datasets,https://www.classcentral.com/course/edx-mining-massive-datasets-2406
Engineering Courses,Introduction to Engineering Mechanics,https://www.classcentral.com/course/statics1-564
Engineering Courses,Differential Equations for Engineers,https://www.classcentral.com/course/differential-equations-engineers-13258
Engineering Courses,Matrix Algebra for Engineers,https://www.classcentral.com/course/matrix-algebra-engineers-11986
